Date,New_Cases,Total_Cases,Deaths
2021-01-01,98820,19639,4019
2021-01-02,66160,106169,4860
2021-01-03,18602,128732,1404
2021-01-04,89801,169073,4291
2021-01-05,26931,175849,1279
2021-01-06,95377,213293,4742
2021-01-07,30192,283209,3724
2021-01-08,47542,292920,539
2021-01-09,43520,368238,3633
2021-01-10,65772,452208,2968
2021-01-11,59762,538761,2924
2021-01-12,51106,570468,4899
2021-01-13,82121,610578,3601
2021-01-14,26559,673366,2157
2021-01-15,34742,757245,4583
2021-01-16,70669,797072,3379
2021-01-17,81199,803727,949
2021-01-18,22754,849586,535
2021-01-19,4972,904211,11
2021-01-20,71831,957309,384
2021-01-21,42873,973560,2350
2021-01-22,95661,975086,4015
2021-01-23,10903,1044846,3062
2021-01-24,4020,1093683,4658
2021-01-25,42755,1106219,2375
2021-01-26,86956,1135760,1535
2021-01-27,87988,1215843,4486
2021-01-28,46648,1267870,1656
2021-01-29,10516,1303401,23
2021-01-30,3396,1313113,4609
2021-01-31,85082,1379568,2288
2021-02-01,20129,1455312,3165
2021-02-02,2591,1461421,139
2021-02-03,12303,1511689,3824
2021-02-04,31561,1567304,4943
2021-02-05,72719,1650807,3226
2021-02-06,93108,1681566,2948
2021-02-07,87231,1768274,3938
2021-02-08,8314,1829386,2050
2021-02-09,20623,1856975,37
2021-02-10,68675,1887990,2123
2021-02-11,97826,1917999,1262
2021-02-12,66082,2002308,4366
2021-02-13,84624,2065354,2056
2021-02-14,34130,2092497,4565
2021-02-15,52756,2099651,4033
2021-02-16,98624,2122455,4406
2021-02-17,27292,2165143,3384
2021-02-18,87206,2230431,3476
2021-02-19,70274,2282626,3091
2021-02-20,3469,2304207,3788
2021-02-21,54947,2357855,639
2021-02-22,23534,2388942,279
2021-02-23,64620,2439872,2649
2021-02-24,49874,2473853,2003
2021-02-25,50708,2544151,2901
2021-02-26,75553,2591318,4967
2021-02-27,69344,2667622,3442
2021-02-28,50138,2712030,1290
2021-03-01,55302,2752529,2370
2021-03-02,48638,2805798,585
2021-03-03,79249,2845357,1317
2021-03-04,3719,2920676,3202
2021-03-05,23890,3016993,3188
2021-03-06,78236,3114340,2744
2021-03-07,37509,3164127,2222
2021-03-08,43534,3200615,2362
2021-03-09,93241,3276056,3578
2021-03-10,19787,3351719,1665
2021-03-11,49845,3375150,1589
2021-03-12,58932,3437831,2213
2021-03-13,93124,3502314,1400
2021-03-14,92659,3552467,1752
2021-03-15,34062,3559835,1935
2021-03-16,76713,3588259,629
2021-03-17,88263,3634263,1284
2021-03-18,96756,3719132,966
2021-03-19,61461,3808784,1949
2021-03-20,76418,3866769,3963
2021-03-21,67672,3917838,2391
2021-03-22,35832,3971164,978
2021-03-23,32966,4053225,1326
2021-03-24,73545,4077623,1053
2021-03-25,13987,4177016,291
2021-03-26,38311,4228877,2854
2021-03-27,32575,4305774,1068
2021-03-28,64852,4388679,4303
2021-03-29,2007,4458256,2542
2021-03-30,71981,4524897,3838
2021-03-31,77242,4534975,1018
2021-04-01,48517,4560978,1239
2021-04-02,30257,4624746,1045
2021-04-03,88272,4676793,4595
2021-04-04,43207,4749419,285
2021-04-05,14281,4808079,2750
2021-04-06,62246,4858865,2299
2021-04-07,2435,4861790,1249
2021-04-08,99875,4946766,135
2021-04-09,92357,4973781,4075
2021-04-10,27660,5008101,4322
2021-04-11,6084,5073982,3878
2021-04-12,83197,5165809,1218
2021-04-13,14507,5193098,3259
2021-04-14,73595,5197487,928
2021-04-15,84807,5224170,3933
2021-04-16,46539,5238799,4413
2021-04-17,8491,5301349,1979
2021-04-18,51192,5327175,2803
2021-04-19,81395,5354805,901
2021-04-20,64888,5454567,4480
2021-04-21,74609,5501730,2043
2021-04-22,10077,5601241,1374
2021-04-23,21953,5668676,138
2021-04-24,77919,5681329,1024
2021-04-25,68889,5710290,1809
2021-04-26,24821,5793231,4622
2021-04-27,38567,5868368,1528
2021-04-28,25860,5903030,4191
2021-04-29,22195,6002848,1208
2021-04-30,78475,6060294,3883
2021-05-01,91874,6082582,2484
2021-05-02,88266,6178663,3495
2021-05-03,22427,6216540,4059
2021-05-04,28083,6232853,3729
2021-05-05,88046,6314738,312
2021-05-06,58372,6388453,3962
2021-05-07,45064,6399779,4693
2021-05-08,8813,6402339,996
2021-05-09,32598,6482487,1873
2021-05-10,94106,6566673,4450
2021-05-11,28082,6594418,4919
2021-05-12,30241,6627308,3082
2021-05-13,97214,6648330,3134
2021-05-14,45569,6701909,1337
2021-05-15,12745,6773225,2418
2021-05-16,27029,6858072,3683
2021-05-17,14025,6887452,3301
2021-05-18,15288,6890808,4043
2021-05-19,90186,6962134,713
2021-05-20,7540,7055581,584
2021-05-21,98768,7146480,3242
2021-05-22,82958,7167529,4793
2021-05-23,69878,7244246,2642
2021-05-24,42846,7261328,3838
2021-05-25,76932,7262989,3240
2021-05-26,18482,7301401,498
2021-05-27,24411,7305321,1357
2021-05-28,51975,7397515,3691
2021-05-29,61545,7458830,3183
2021-05-30,79797,7539391,4599
2021-05-31,53307,7549337,1677
